WORD,OCCURRENCES
the,99047
and,89219
of,89068
in,61145
to,42159
a,34997
with,30919
for,23524
were,20141
was,19357
patients,15279
is,14315
1,13389
by,13222
that,11853
on,11246
0,10563
as,10364
this,9934
abstract,9519
we,9168
study,9027
from,8668
or,8483
2,8137
an,7236
are,7043
at,7031
results,6987
be,6462
between,5787
treatment,5728
associated,5333
3,5332
cancer,5184
clinical,4893
cells,4848
risk,4838
all,4824
disease,4820
cell,4796
using,4671
©,4659
methods,4625
not,4594
analysis,4571
after,4568
5,4523
group,4415
have,4159
these,4091
health,3982
2020,3849
4,3730
,3709
s,3676
which,3650
p,3596
data,3588
based,3484
used,3446
high,3384
compared,3328
had,3274
may,3190
has,3160
their,3157
95%,3153
studies,3135
expression,3123
6,3080
significantly,3077
than,2990
age,2962
no,2956
use,2924
copyright,2911
levels,2901
=,2894
patient,2890
care,2886
been,2874
during,2863
increased,2839
significant,2827
can,2820
ci,2812
among,2808
our,2764
more,2754
higher,2748
non,2685
but,2684
also,2638
effects,2632
both,2606
factors,2575
related,2573
two,2563
however,2562
background,2554
time,2533
therapy,2519
who,2494
outcomes,2469
there,2411
,2381
years,2353
showed,2338
conclusions,2317
conclusion,2314
most,2256
it,2248
its,2230
total,2216
control,2184
activity,2183
groups,2176
published,2169
effect,2157
low,2152
review,2140
model,2127
one,2094
7,2073
induced,2067
potential,2066
other,2064
protein,2056
8,2026
including,2016
up,1975
found,1973
tumor,1963
human,1946
blood,1939
women,1936
performed,1911
association,1882
into,1877
role,1862
respectively,1841
included,1827
different,1827
well,1808
10,1805
level,1805
identified,1794
rate,1794
response,1783
rights,1775
type,1774
development,1767
reported,1765
function,1750
specific,1744
children,1743
research,1743
gene,1736
vs,1733
mean,1725
primary,1712
lower,1704
first,1704
reserved,1686
mortality,1685
survival,1680
surgery,1674
diagnosis,1664
medical,1651
cases,1640
such,1640
drug,1629
elsevier,1625
population,1618
quality,1615
9,1612
lung,1611
those,1609
findings,1604
pain,1599
&lt,1592
chronic,1580
year,1576
12,1575
mice,1571
c,1568
new,1560
system,1544
only,1542
participants,1542
positive,1524
2019,1523
evidence,1522
case,1518
medicine,1514
diabetes,1507
factor,1499
anti,1498
while,1496
acute,1496
infection,1487
through,1487
early,1480
b,1470
further,1468
t,1467
when,1466
three,1462
could,1456
injury,1454
present,1438
changes,1436
cohort,1427
brain,1405
without,1401
tissue,1380
hospital,1372
observed,1355
common,1343
test,1335
management,1330
liver,1329
important,1328
treated,1326
score,1304
outcome,1299
inflammatory,1297
follow,1290
immune,1275
diseases,1275
objective,1264
over,1263
differences,1255
aim,1254
overall,1251
intervention,1241
assessed,1233
i,1233
imaging,1232
months,1221
n,1209
will,1203
due,1202
number,1191
method,1190
within,1187
novel,1185
