PMID,doi,Title,Publication Date,Journal Title,Authors,Keywords,Abstract,Publication type,Conflict Of Interests,Score
36151472,10.1038/s41586-022-05300-0,Publisher Correction: Brain charts for the human lifespan.,2022 Oct,Nature,"Bethlehem RAI, Seidlitz J, White SR, Vogel JW, Anderson KM, Adamson C, Adler S, Alexopoulos GS, Anagnostou E, Areces-Gonzalez A, Astle DE, Auyeung B, Ayub M, Bae J, Ball G, Baron-Cohen S, Beare R, Bedford SA, Benegal V, Beyer F, Blangero J, Blesa Cabez M, Boardman JP, Borzage M, Bosch-Bayard JF, Bourke N, Calhoun VD, Chakravarty MM, Chen C, Chertavian C, Chetelat G, Chong YS, Cole JH, Corvin A, Costantino M, Courchesne E, Crivello F, Cropley VL, Crosbie J, Crossley N, Delarue M, Delorme R, Desrivieres S, Devenyi GA, Di Biase MA, Dolan R, Donald KA, Donohoe G, Dunlop K, Edwards AD, Elison JT, Ellis CT, Elman JA, Eyler L, Fair DA, Feczko E, Fletcher PC, Fonagy P, Franz CE, Galan-Garcia L, Gholipour A, Giedd J, Gilmore JH, Glahn DC, Goodyer IM, Grant PE, Groenewold NA, Gunning FM, Gur RE, Gur RC, Hammill CF, Hansson O, Hedden T, Heinz A, Henson RN, Heuer K, Hoare J, Holla B, Holmes AJ, Holt R, Huang H, Im K, Ipser J, Jack CR Jr, Jackowski AP, Jia T, Johnson KA, Jones PB, Jones DT, Kahn RS, Karlsson H, Karlsson L, Kawashima R, Kelley EA, Kern S, Kim KW, Kitzbichler MG, Kremen WS, Lalonde F, Landeau B, Lee S, Lerch J, Lewis JD, Li J, Liao W, Liston C, Lombardo MV, Lv J, Lynch C, Mallard TT, Marcelis M, Markello RD, Mathias SR, Mazoyer B, McGuire P, Meaney MJ, Mechelli A, Medic N, Misic B, Morgan SE, Mothersill D, Nigg J, Ong MQW, Ortinau C, Ossenkoppele R, Ouyang M, Palaniyappan L, Paly L, Pan PM, Pantelis C, Park MM, Paus T, Pausova Z, Paz-Linares D, Pichet Binette A, Pierce K, Qian X, Qiu J, Qiu A, Raznahan A, Rittman T, Rodrigue A, Rollins CK, Romero-Garcia R, Ronan L, Rosenberg MD, Rowitch DH, Salum GA, Satterthwaite TD, Schaare HL, Schachar RJ, Schultz AP, Schumann G, Scholl M, Sharp D, Shinohara RT, Skoog I, Smyser CD, Sperling RA, Stein DJ, Stolicyn A, Suckling J, Sullivan G, Taki Y, Thyreau B, Toro R, Traut N, Tsvetanov KA, Turk-Browne NB, Tuulari JJ, Tzourio C, Vachon-Presseau E, Valdes-Sosa MJ, Valdes-Sosa PA, Valk SL, van Amelsvoort T, Vandekar SN, Vasung L, Victoria LW, Villeneuve S, Villringer A, Vertes PE, Wagstyl K, Wang YS, Warfield SK, Warrier V, Westman E, Westwater ML, Whalley HC, Witte AV, Yang N, Yeo B, Yun H, Zalesky A, Zar HJ, Zettergren A, Zhou JH, Ziauddeen H, Zugman A, Zuo XN, Bullmore ET, Alexander-Bloch AF",,,Published Erratum,,0.0
36119806,10.1016/j.xhgg.2022.100138,"An open-label study evaluating the safety, behavioral, and electrophysiological outcomes of low-dose ketamine in children with ADNP syndrome.",2022 Oct 13,HGG advances,"Kolevzon A, Levy T, Barkley S, Bedrosian-Sermone S, Davis M, Foss-Feig J, Halpern D, Keller K, Kostic A, Layton C, Lee R, Lerman B, Might M, Sandin S, Siper PM, Sloofman LG, Walker H, Zweifach J, Buxbaum JD","ADNP, ASD, Helsmoortel-Van der Aa syndrome, autism spectrum disorder, ketamine","Activity-dependent neuroprotective protein (ADNP) syndrome is a rare genetic condition associated with intellectual disability and autism spectrum disorder. Preclinical evidence suggests that low-dose ketamine may induce expression of ADNP and that neuroprotective effects of ketamine may be mediated by ADNP. The goal of the proposed research was to evaluate the safety, tolerability, and behavioral outcomes of low-dose ketamine in children with ADNP syndrome. We also sought to explore the feasibility of using electrophysiological markers of auditory steady-state response and computerized eye tracking to assess biomarker sensitivity to treatment. This study utilized a single-dose (0.5 mg/kg), open-label design, with ketamine infused intravenously over 40 min. Ten children with ADNP syndrome ages 6 to 12 years were enrolled. Ketamine was generally well tolerated, and there were no serious adverse events. The most common adverse events were elation/silliness (50%), fatigue (40%), and increased aggression (40%). Using parent-report instruments to assess treatment effects, ketamine was associated with nominally significant improvement in a wide array of domains, including social behavior, attention deficit and hyperactivity, restricted and repetitive behaviors, and sensory sensitivities, a week after administration. Results derived from clinician-rated assessments aligned with findings from the parent reports. Overall, nominal improvement was evident based on the Clinical Global Impressions - Improvement scale, in addition to clinician-based scales reflecting key domains of social communication, attention deficit and hyperactivity, restricted and repetitive behaviors, speech, thinking, and learning, activities of daily living, and sensory sensitivities. Results also highlight the potential utility of electrophysiological measurement of auditory steady-state response and eye-tracking to index change with ketamine treatment. Findings are intended to be hypothesis generating and provide preliminary support for the safety and efficacy of ketamine in ADNP syndrome in addition to identifying useful endpoints for a ketamine clinical development program. However, results must be interpreted with caution given limitations of this study, most importantly the small sample size and absence of a placebo-control group.",Journal Article,"Alexander Kolevzon is on the scientific advisory boards of Ovid Therapeutics, Ritrova Therapeutics, and Jaguar Therapeutics and consults to Acadia, Alkermes, GW Pharmaceuticals, Neuren Pharmaceuticals, Clinilabs Drug Development Corporation, and Scioto Biosciences. Paige M. Siper and Mount Sinai licensed the Sensory Assessment for Neurodevelopmental Disorders (SAND) developed by PMS to Stoelting, Co. Sandra Sermone is on the board of directors of ADNP Kids Research Foundation, has patent applications filed for ketamine and ketamine/NAP for the treatment of ADNP syndrome and related neurological conditions, and is a parent of a child with ADNP syndrome. Matthew Davis is on the scientific advisory board of ADNP Kids Research Foundation, has patent applications filed for ketamine and ketamine/NAP for the treatment of ADNP syndrome and related neurological conditions, and is a parent of a child with ADNP syndrome. Joseph D. Buxbaum consults for BridgeBio Pharma. The remainder of the authors declare no competing interests.",0.15
36048763,10.1371/journal.pone.0266651,"The impact of an integrated, interprofessional knowledge translation intervention on access to inpatient rehabilitation for persons with cognitive impairment.",2022,PloS one,"Linkewich E, Rios J, Allen KA, Avery L, Dawson DR, Donald M, Egan M, Hunt A, Jutzi K, McEwen S","*Cognitive Dysfunction, Humans, Inpatients, *Stroke/psychology, *Stroke Rehabilitation, Translational Science, Biomedical","INTRODUCTION: Stroke rehabilitation teams' skills and knowledge in treating persons with cognitive impairment (CI) contribute to their reduced access to inpatient rehabilitation. This study examined stroke inpatient rehabilitation referral acceptance rates for persons with CI before and after the implementation of a multi-faceted integrated knowledge translation (KT) intervention aimed at improving clinicians' skills in a cognitive-strategy based approach, Cognitive Orientation to daily Occupational Performance (CO-OP), CO-OP KT. METHODS: CO-OP KT was implemented at five inpatient rehabilitation centres, using an interrupted time series design and data from an electronic referral and database system called E-Stroke. CO-OP KT included a 2-day workshop, 4 months of implementation support, health system support, and a sustainability plan. A mixed effects model was used to model monthly acceptance rates for 12 months prior to the intervention and 6 months post. RESULTS: The dataset was comprised of 2604 pre-intervention referrals and 1354 post. In the mixed effects model, those with CI had a lower pre-intervention acceptance rate than those without. Post-intervention the model showed the acceptance rate for those with CI increased by 8.6% (p = 0.02), whereas those with no CI showed a non-significant increase of less than 1%. CONCLUSIONS: Proportionally more persons with CI gained access to inpatient stroke rehabilitation following an integrated KT intervention.","Journal Article, Research Support, Non-U.S. Gov't",The authors have declared that no competing interests exist.,0.0
35998220,10.1073/pnas.2202764119,"Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people.",2022 Aug 30,Proceedings of the National Academy of Sciences of the United States of America,"Eising E, Mirza-Schreiber N, de Zeeuw EL, Wang CA, Truong DT, Allegrini AG, Shapland CY, Zhu G, Wigg KG, Gerritse ML, Molz B, Alagoz G, Gialluisi A, Abbondanza F, Rimfeld K, van Donkelaar M, Liao Z, Jansen PR, Andlauer TFM, Bates TC, Bernard M, Blokland K, Bonte M, Borglum AD, Bourgeron T, Brandeis D, Ceroni F, Csepe V, Dale PS, de Jong PF, DeFries JC, Demonet JF, Demontis D, Feng Y, Gordon SD, Guger SL, Hayiou-Thomas ME, Hernandez-Cabrera JA, Hottenga JJ, Hulme C, Kere J, Kerr EN, Koomar T, Landerl K, Leonard GT, Lovett MW, Lyytinen H, Martin NG, Martinelli A, Maurer U, Michaelson JJ, Moll K, Monaco AP, Morgan AT, Nothen MM, Pausova Z, Pennell CE, Pennington BF, Price KM, Rajagopal VM, Ramus F, Richer L, Simpson NH, Smith SD, Snowling MJ, Stein J, Strug LJ, Talcott JB, Tiemeier H, van der Schroeff MP, Verhoef E, Watkins KE, Wilkinson M, Wright MJ, Barr CL, Boomsma DI, Carreiras M, Franken MJ, Gruen JR, Luciano M, Muller-Myhsok B, Newbury DF, Olson RK, Paracchini S, Paus T, Plomin R, Reilly S, Schulte-Korne G, Tomblin JB, van Bergen E, Whitehouse AJO, Willcutt EG, St Pourcain B, Francks C, Fisher SE","Adolescent, Adult, Child, Child, Preschool, Genetic Loci, *Genome-Wide Association Study, Humans, *Individuality, Language, Polymorphism, Single Nucleotide, *Reading, *Speech, Young Adult, genome-wide association study, language, meta-analysis, reading","The use of spoken and written language is a fundamental human capacity. Individual differences in reading- and language-related skills are influenced by genetic variation, with twin-based heritability estimates of 30 to 80% depending on the trait. The genetic architecture is complex, heterogeneous, and multifactorial, but investigations of contributions of single-nucleotide polymorphisms (SNPs) were thus far underpowered. We present a multicohort genome-wide association study (GWAS) of five traits assessed individually using psychometric measures (word reading, nonword reading, spelling, phoneme awareness, and nonword repetition) in samples of 13,633 to 33,959 participants aged 5 to 26 y. We identified genome-wide significant association with word reading (rs11208009, P = 1.098 x 10(-8)) at a locus that has not been associated with intelligence or educational attainment. All five reading-/language-related traits showed robust SNP heritability, accounting for 13 to 26% of trait variability. Genomic structural equation modeling revealed a shared genetic factor explaining most of the variation in word/nonword reading, spelling, and phoneme awareness, which only partially overlapped with genetic variation contributing to nonword repetition, intelligence, and educational attainment. A multivariate GWAS of word/nonword reading, spelling, and phoneme awareness maximized power for follow-up investigation. Genetic correlation analysis with neuroimaging traits identified an association with the surface area of the banks of the left superior temporal sulcus, a brain region linked to the processing of spoken and written language. Heritability was enriched for genomic elements regulating gene expression in the fetal brain and in chromosomal regions that are depleted of Neanderthal variants. Together, these results provide avenues for deciphering the biological underpinnings of uniquely human traits.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",,0.0
35994476,10.1371/journal.pone.0273116,A genome-wide association study of total child psychiatric problems scores.,2022,PloS one,"Neumann A, Nolte IM, Pappa I, Ahluwalia TS, Pettersson E, Rodriguez A, Whitehouse A, van Beijsterveldt CEM, Benyamin B, Hammerschlag AR, Helmer Q, Karhunen V, Krapohl E, Lu Y, van der Most PJ, Palviainen T, St Pourcain B, Seppala I, Suarez A, Vilor-Tejedor N, Tiesler CMT, Wang C, Wills A, Zhou A, Alemany S, Bisgaard H, Bonnelykke K, Davies GE, Hakulinen C, Henders AK, Hypponen E, Stokholm J, Bartels M, Hottenga JJ, Heinrich J, Hewitt J, Keltikangas-Jarvinen L, Korhonen T, Kaprio J, Lahti J, Lahti-Pulkkinen M, Lehtimaki T, Middeldorp CM, Najman JM, Pennell C, Power C, Oldehinkel AJ, Plomin R, Raikkonen K, Raitakari OT, Rimfeld K, Sass L, Snieder H, Standl M, Sunyer J, Williams GM, Bakermans-Kranenburg MJ, Boomsma DI, van IJzendoorn MH, Hartman CA, Tiemeier H","*Attention Deficit Disorder with Hyperactivity/genetics/psychology, *Bipolar Disorder/genetics, Genetic Predisposition to Disease, Genome-Wide Association Study/methods, Humans, Polymorphism, Single Nucleotide","Substantial genetic correlations have been reported across psychiatric disorders and numerous cross-disorder genetic variants have been detected. To identify the genetic variants underlying general psychopathology in childhood, we performed a genome-wide association study using a total psychiatric problem score. We analyzed 6,844,199 common SNPs in 38,418 school-aged children from 20 population-based cohorts participating in the EAGLE consortium. The SNP heritability of total psychiatric problems was 5.4% (SE = 0.01) and two loci reached genome-wide significance: rs10767094 and rs202005905. We also observed an association of SBF2, a gene associated with neuroticism in previous GWAS, with total psychiatric problems. The genetic effects underlying the total score were shared with common psychiatric disorders only (attention-deficit/hyperactivity disorder, anxiety, depression, insomnia) (rG > 0.49), but not with autism or the less common adult disorders (schizophrenia, bipolar disorder, or eating disorders) (rG < 0.01). Importantly, the total psychiatric problem score also showed at least a moderate genetic correlation with intelligence, educational attainment, wellbeing, smoking, and body fat (rG > 0.29). The results suggest that many common genetic variants are associated with childhood psychiatric symptoms and related phenotypes in general instead of with specific symptoms. Further research is needed to establish causality and pleiotropic mechanisms between related traits.","Journal Article, Research Support, Non-U.S. Gov't",The authors have declared that no competing interests exist.,0.26
35987298,10.1016/j.jaac.2022.08.003,Comparison of Transdiagnostic Treatment and Specialized Social Anxiety Treatment for Children and Adolescents With Social Anxiety Disorder: A Randomized Controlled Trial.,2022 Aug 17,Journal of the American Academy of Child and Adolescent Psychiatry,"Rapee RM, McLellan LF, Carl T, Trompeter N, Hudson JL, Jones MP, Wuthrich VM","adolescence, child anxiety, randomized, social anxiety, treatment","OBJECTIVE: Pediatric social anxiety disorder consistently shows the poorest treatment response of all anxiety disorders. The current study compared a generic cognitive-behavioral therapy (CBT) treatment for pediatric anxiety against a modified (social anxiety) treatment that incorporated specific components to target theoretically important maintaining processes. METHOD: A total of 200 children and adolescents (mean age = 9.5 years, SD = 2.2 years; 47% boys) diagnosed with social anxiety disorder as either their principal or additional disorder were randomly allocated to either the generic or the modified treatment. Both treatments were based on a manualized, empirically validated program (Cool Kids) and comprised 10 sessions over 12 weeks. Assessments comprised structured diagnostic interview and parent and youth reports, and covered diagnoses, symptoms, life impairment, and assessment of maintaining processes at post-treatment and 6-month follow-up. RESULTS: The treatments did not differ significantly on the primary outcome (remission of social anxiety disorder) at either post-treatment (remission in generic = 41%; modified = 44%) or follow-up (remission in generic = 51%; modified = 69%), although the latter approached significance (p = .08). They also did not differ at either time point on most secondary measures of outcome. The only maintaining process that changed more under modified treatment was attention to the current task. CONCLUSION: Despite some positive hints in the data, there was little evidence that the modified intervention significantly improved treatment of pediatric social anxiety disorder, despite incorporating strategies to address putative maintaining mechanisms. The similar improvement between treatments on most maintaining processes suggests that new and innovative strategies may be needed to better target these processes. CLINICAL TRIAL REGISTRATION INFORMATION: Efficacy of Cognitive Behavioural Treatment for Socially Anxious Youth; https://www.anzctr.org.au/; 12616001065482.",Journal Article,,0.04
35912770,10.3233/WOR-210788,Assessment of the elementary school students' schoolbag weight in the urban environment in Poland: A cross-sectional study carried out as a part of the 'Lightweight Schoolbag' and 'Let's Get the Kids Moving' projects.,2022,"Work (Reading, Mass.)","Gorna S, Pazdro-Zastawny K, Basiak-Rasala A, Krajewska J, Kolator M, Lesiuk-Krajewska A, Kozlowska-Panek K, Cichy I, Rokita A, Zatonski T","Body Weight, Child, Cross-Sectional Studies, Humans, Male, Poland, *Students, Weight-Bearing, Elementary school children, health, schoolbag, weight limit","BACKGROUND: Carrying a properly weighted schoolbag is an important factor in preventing the occurrence of muscular skeletal disorder in early school age children. OBJECTIVE: The purpose of this cross- sectional observational study was to examine the schoolbag weight and to determine the percentage of children were carrying overloaded schoolbag. METHODS: The study group included pupils from five primary public schools in Wroclaw, Poland. Anthropometrical measurements such body weight (BW) and height were conducted on 650 children (51.1% of boys). Children's age, gender, Cole's Index was juxtaposed with schoolbag weight. The mean age of the examined students was 8.7+/-0.8 years (range 7 to 10 years). RESULTS: The mean schoolbags weight was 3.7+/-0.92 kg, which represented 13.0+/-3.8% of pupils' BW. The percentage of pupils carry the schoolbags weighing more than 10% of their BW was 77.9%. More than a quarter of Polish children carry school backpack above 15% of their BW. The majority (96.8%) had schoolbags which may be carried on both shoulders. A significant negative correlation was observed between relative schoolbag weight and Cole's Index (rho = -0.44, p < 0.05). CONCLUSIONS: The problem of overloaded schoolbags among elementary school children was frequent. Pupils ought to be educated in the proper packing of their school backpacks. Additionally, parents and teachers should pay attention regarding the contents carried by children in their respective schoolbags.","Journal Article, Observational Study",,0.09
35906897,10.1111/dmcn.15367,Proxy-reported sensory measures for children and adolescents with neurodevelopmental disorders: A systematic review.,2022 Jul 30,Developmental medicine and child neurology,"Soler N, Cordier R, Perkes IE, Dale RC, Bray P",,"AIM: To determine the quality and utility of proxy-reported sensory measures for children and adolescents with neurodevelopmental disorders (such as autism spectrum disorder, attention-deficit/hyperactivity disorder, movement disorders, and intellectual disability). METHOD: We systematically searched 11 databases. We applied the updated Consensus-based Standards for the selection of health Measurement INstruments (COSMIN) Risk of Bias checklist and criteria for good measurement properties to evaluate instrument development and psychometric properties. Findings were summarized using a COSMIN adaptation of Grading of Recommendations, Assessment, Development and Evaluations. RESULTS: From 11 databases, 6748 articles were screened. Ninety-one full-length articles were reviewed after removing excluded studies and manual searches conducted by two reviewers. Data were extracted for 12 measures from 20 articles. Of the 12 measures, only three provided sufficient data to evaluate content validity and psychometric measurement properties. The Participation and Sensory Environment Questionnaire-Home (PSEQ-H) was the only measure that satisfied moderate content validity and moderate-to-high quality for measurement properties. These properties included: structural validity, hypothesis testing for construct validity, internal consistency, reliability, and measurement error. INTERPRETATION: One measure, the PSEQ-H, met eight criteria for good measurement properties. To facilitate evidence-informed clinical decision-making, all psychometric properties of all 12 sensory-based, proxy-reported measures were presented. The importance of consumer engagement in measure development and the need for ongoing evaluation of measures against contemporaneous standards is recommended.","Journal Article, Review",,0.06
35882855,10.1038/s41398-022-02057-y,Neuroanatomical heterogeneity and homogeneity in individuals at clinical high risk for psychosis.,2022 Jul 26,Translational psychiatry,"Baldwin H, Radua J, Antoniades M, Haas SS, Frangou S, Agartz I, Allen P, Andreassen OA, Atkinson K, Bachman P, Baeza I, Bartholomeusz CF, Chee MWL, Colibazzi T, Cooper RE, Corcoran CM, Cropley VL, Ebdrup BH, Fortea A, Glenthoj LB, Hamilton HK, Haut KM, Hayes RA, He Y, Heekeren K, Kaess M, Kasai K, Katagiri N, Kim M, Kindler J, Klaunig MJ, Koike S, Koppel A, Kristensen TD, Bin Kwak Y, Kwon JS, Lawrie SM, Lebedeva I, Lee J, Lin A, Loewy RL, Mathalon DH, Michel C, Mizrahi R, Moller P, Nelson B, Nemoto T, Nordholm D, Omelchenko MA, Pantelis C, Raghava JM, Rossberg JI, Rossler W, Salisbury DF, Sasabayashi D, Schall U, Smigielski L, Sugranyes G, Suzuki M, Takahashi T, Tamnes CK, Tang J, Theodoridou A, Thomopoulos SI, Tomyshev AS, Uhlhaas PJ, Vaernes TG, van Amelsvoort TAMJ, Van Erp TGM, Waltz JA, Westlye LT, Wood SJ, Zhou JH, McGuire P, Thompson PM, Jalbrzikowski M, Hernaus D, Fusar-Poli P","Brain/diagnostic imaging/pathology, Humans, Magnetic Resonance Imaging, *Psychotic Disorders/complications","Individuals at Clinical High Risk for Psychosis (CHR-P) demonstrate heterogeneity in clinical profiles and outcome features. However, the extent of neuroanatomical heterogeneity in the CHR-P state is largely undetermined. We aimed to quantify the neuroanatomical heterogeneity in structural magnetic resonance imaging measures of cortical surface area (SA), cortical thickness (CT), subcortical volume (SV), and intracranial volume (ICV) in CHR-P individuals compared with healthy controls (HC), and in relation to subsequent transition to a first episode of psychosis. The ENIGMA CHR-P consortium applied a harmonised analysis to neuroimaging data across 29 international sites, including 1579 CHR-P individuals and 1243 HC, offering the largest pooled CHR-P neuroimaging dataset to date. Regional heterogeneity was indexed with the Variability Ratio (VR) and Coefficient of Variation (CV) ratio applied at the group level. Personalised estimates of heterogeneity of SA, CT and SV brain profiles were indexed with the novel Person-Based Similarity Index (PBSI), with two complementary applications. First, to assess the extent of within-diagnosis similarity or divergence of neuroanatomical profiles between individuals. Second, using a normative modelling approach, to assess the 'normativeness' of neuroanatomical profiles in individuals at CHR-P. CHR-P individuals demonstrated no greater regional heterogeneity after applying FDR corrections. However, PBSI scores indicated significantly greater neuroanatomical divergence in global SA, CT and SV profiles in CHR-P individuals compared with HC. Normative PBSI analysis identified 11 CHR-P individuals (0.70%) with marked deviation (>1.5 SD) in SA, 118 (7.47%) in CT and 161 (10.20%) in SV. Psychosis transition was not significantly associated with any measure of heterogeneity. Overall, our examination of neuroanatomical heterogeneity within the CHR-P state indicated greater divergence in neuroanatomical profiles at an individual level, irrespective of psychosis conversion. Further large-scale investigations are required of those who demonstrate marked deviation.","Journal Article, Research Support, Non-U.S. Gov't, Research Support, N.I.H., Extramural",,0.0
35840571,10.1038/s41467-022-31566-z,SLITRK2 variants associated with neurodevelopmental disorders impair excitatory synaptic function and cognition in mice.,2022 Jul 15,Nature communications,"El Chehadeh S, Han KA, Kim D, Jang G, Bakhtiari S, Lim D, Kim HY, Kim J, Kim H, Wynn J, Chung WK, Vitiello G, Cutcutache I, Page M, Gecz J, Harper K, Han AR, Kim HM, Wessels M, Bayat A, Jaen AF, Selicorni A, Maitz S, de Brouwer APM, Silfhout AV, Armstrong M, Symonds J, Kury S, Isidor B, Cogne B, Nizon M, Feger C, Muller J, Torti E, Grange DK, Willems M, Kruer MC, Ko J, Piton A, Um JW","Animals, Cognition, Hippocampus/physiology, Mice, Mice, Knockout, *Neurodevelopmental Disorders/genetics/metabolism, *Synapses/metabolism","SLITRK2 is a single-pass transmembrane protein expressed at postsynaptic neurons that regulates neurite outgrowth and excitatory synapse maintenance. In the present study, we report on rare variants (one nonsense and six missense variants) in SLITRK2 on the X chromosome identified by exome sequencing in individuals with neurodevelopmental disorders. Functional studies showed that some variants displayed impaired membrane transport and impaired excitatory synapse-promoting effects. Strikingly, these variations abolished the ability of SLITRK2 wild-type to reduce the levels of the receptor tyrosine kinase TrkB in neurons. Moreover, Slitrk2 conditional knockout mice exhibited impaired long-term memory and abnormal gait, recapitulating a subset of clinical features of patients with SLITRK2 variants. Furthermore, impaired excitatory synapse maintenance induced by hippocampal CA1-specific cKO of Slitrk2 caused abnormalities in spatial reference memory. Collectively, these data suggest that SLITRK2 is involved in X-linked neurodevelopmental disorders that are caused by perturbation of diverse facets of SLITRK2 function.","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",,0.0
